Assets,Return,Volatility
0 17 24 25 ,7.66,11.6428
0 17 24 27 ,7.6525,10.7065
0 17 24 28 ,7.205,10.495
0 17 24 29 ,7.3475,10.6563
0 17 24 31 ,7.395,11.2531
0 17 24 32 ,7.41,11.0984
0 17 24 34 ,7.1425,10.7763
0 17 24 44 ,7.0425,10.0869
0 17 24 51 ,7.5675,11.081
0 17 24 52 ,7.5375,11.27
0 17 25 26 ,7.99,10.6312
0 17 25 28 ,7.895,11.4839
0 17 25 33 ,7.655,11.3137
0 17 25 34 ,7.8325,11.1966
0 17 25 35 ,7.6775,11.0006
0 17 25 36 ,7.3925,10.6412
0 17 25 37 ,7.435,10.1308
0 17 25 38 ,7.685,10.8719
0 17 25 43 ,7.83,10.3015
0 17 25 44 ,7.7325,10.5703
0 17 26 31 ,7.725,10.3142
0 17 26 32 ,7.74,10.2081
0 17 27 28 ,7.8875,10.7353
0 17 27 33 ,7.6475,10.498
0 17 27 34 ,7.825,10.2706
0 17 27 35 ,7.67,10.1558
0 17 27 38 ,7.6775,10.0747
0 17 28 29 ,7.5825,10.4757
0 17 28 31 ,7.63,11.0683
0 17 28 32 ,7.645,10.8987
0 17 28 33 ,7.2,10.1598
0 17 28 34 ,7.3775,10.0709
0 17 28 51 ,7.8025,10.6795
0 17 28 52 ,7.7725,10.4376
0 17 29 31 ,7.7725,11.2036
0 17 29 32 ,7.7875,11.0565
0 17 29 33 ,7.3425,10.3021
0 17 29 34 ,7.52,10.182
0 17 29 35 ,7.365,10.0148
0 17 29 51 ,7.945,10.7324
0 17 29 52 ,7.915,10.5431
0 17 30 49 ,7.3575,10.6085
0 17 30 50 ,7.3875,10.4148
0 17 30 55 ,7.3475,10.3236
0 17 31 32 ,7.835,12.2549
0 17 31 33 ,7.39,10.9891
0 17 31 34 ,7.5675,10.7612
0 17 31 35 ,7.4125,10.6576
0 17 31 36 ,7.1275,10.232
0 17 31 38 ,7.42,10.5107
0 17 31 43 ,7.565,10.2288
0 17 31 44 ,7.4675,10.1703
0 17 31 51 ,7.9925,11.5872
0 17 31 52 ,7.9625,11.4018
0 17 32 33 ,7.405,10.8233
0 17 32 34 ,7.5825,10.5905
0 17 32 35 ,7.4275,10.5105
0 17 32 36 ,7.1425,10.0685
0 17 32 38 ,7.435,10.3435
0 17 32 43 ,7.58,10.1024
0 17 32 44 ,7.4825,10.0643
0 17 32 52 ,7.9775,11.3208
0 17 33 34 ,7.1375,10.069
0 17 33 51 ,7.5625,10.5582
0 17 33 52 ,7.5325,10.4569
0 17 34 51 ,7.74,10.4774
0 17 34 52 ,7.71,10.4187
0 17 35 51 ,7.585,10.4101
0 17 35 52 ,7.555,10.4551
0 17 38 51 ,7.5925,10.1805
0 17 38 52 ,7.5625,10.0422
0 18 19 30 ,7.665,10.3306
0 18 22 25 ,7.305,11.5543
0 18 22 27 ,7.2975,10.6938
0 18 22 30 ,7.9425,11.445
0 18 22 31 ,7.04,11.2341
0 18 22 32 ,7.055,11.0431
0 18 22 51 ,7.2125,10.789
0 18 22 52 ,7.1825,10.6734
0 18 23 25 ,7.5275,11.9783
0 18 23 26 ,7.1675,10.084
0 18 23 27 ,7.52,11.1258
0 18 23 28 ,7.0725,10.8054
0 18 23 29 ,7.215,10.9774
0 18 23 31 ,7.2625,11.6998
0 18 23 32 ,7.2775,11.487
0 18 23 34 ,7.01,10.9025
0 18 23 51 ,7.435,11.2725
0 18 23 52 ,7.405,11.1506
0 18 24 25 ,7.525,12.2343
0 18 24 26 ,7.165,10.4063
0 18 24 27 ,7.5175,11.3378
0 18 24 28 ,7.07,11.074
0 18 24 29 ,7.2125,11.2553
0 18 24 31 ,7.26,11.9397
0 18 24 32 ,7.275,11.7437
0 18 24 34 ,7.0075,11.3009
0 18 24 43 ,7.005,10.0672
0 18 24 51 ,7.4325,11.5997
0 18 24 52 ,7.4025,11.6724
0 18 25 26 ,7.855,11.2738
0 18 25 28 ,7.76,12.1216
0 18 25 29 ,7.9025,12.2935
0 18 25 31 ,7.95,12.9048
0 18 25 32 ,7.965,12.7137
0 18 25 33 ,7.52,11.951
0 18 25 34 ,7.6975,11.8114
0 18 25 35 ,7.5425,11.5418
0 18 25 36 ,7.2575,11.2303
0 18 25 37 ,7.3,10.7417
0 18 25 38 ,7.55,11.4876
0 18 25 39 ,7.39,10.517
0 18 25 43 ,7.695,10.9397
0 18 25 44 ,7.5975,11.1663
0 18 25 58 ,7.58,10.1664
0 18 26 27 ,7.8475,10.6353
0 18 26 28 ,7.4,10.1527
0 18 26 29 ,7.5425,10.3882
0 18 26 31 ,7.59,11.0572
0 18 26 32 ,7.605,10.9041
0 18 26 33 ,7.16,10.057
0 18 26 51 ,7.7625,10.3656
0 18 26 52 ,7.7325,10.3004
0 18 27 28 ,7.7525,11.4059
0 18 27 29 ,7.895,11.4844
0 18 27 31 ,7.9425,12.6114
0 18 27 32 ,7.9575,12.5737
0 18 27 33 ,7.5125,11.1727
0 18 27 34 ,7.69,10.9282
0 18 27 35 ,7.535,10.7302
0 18 27 36 ,7.25,10.3964
0 18 27 38 ,7.5425,10.7267
0 18 27 43 ,7.6875,10.5688
0 18 27 44 ,7.59,10.3807
0 18 28 29 ,7.4475,11.1264
0 18 28 31 ,7.495,11.8053
0 18 28 32 ,7.51,11.5954
0 18 28 33 ,7.065,10.7896
0 18 28 34 ,7.2425,10.674
0 18 28 35 ,7.0875,10.3889
0 18 28 38 ,7.095,10.4089
0 18 28 51 ,7.6675,11.2581
0 18 28 52 ,7.6375,10.9136
0 18 29 31 ,7.6375,11.9588
0 18 29 32 ,7.6525,11.771
0 18 29 33 ,7.2075,10.9528
0 18 29 34 ,7.385,10.8085
0 18 29 35 ,7.23,10.5593
0 18 29 38 ,7.2375,10.5083
0 18 29 43 ,7.3825,10.0081
0 18 29 44 ,7.285,10.181
0 18 29 51 ,7.81,11.3364
0 18 29 52 ,7.78,11.0434
0 18 30 36 ,7.895,11.1759
0 18 30 37 ,7.9375,10.7466
0 18 30 42 ,7.91,10.7041
0 18 30 46 ,7.74,10.1542
0 18 30 48 ,7.58,10.4193
0 18 30 49 ,7.2225,11.1791
0 18 30 50 ,7.2525,10.9202
0 18 30 54 ,7.225,10.1136
0 18 30 55 ,7.2125,10.7963
0 18 31 32 ,7.7,13.0112
0 18 31 33 ,7.255,11.7213
0 18 31 34 ,7.4325,11.4783
0 18 31 35 ,7.2775,11.2955
0 18 31 37 ,7.035,10.4778
0 18 31 38 ,7.285,11.227
0 18 31 39 ,7.125,10.4022
0 18 31 41 ,7.7625,10.1257
0 18 31 42 ,7.0075,10.016
0 18 31 43 ,7.43,10.9539
0 18 31 44 ,7.3325,10.8718
0 18 31 51 ,7.8575,12.2635
0 18 31 52 ,7.8275,11.9833
0 18 31 58 ,7.315,10.1824
0 18 32 33 ,7.27,11.5147
0 18 32 34 ,7.4475,11.266
0 18 32 35 ,7.2925,11.1036
0 18 32 36 ,7.0075,10.7182
0 18 32 37 ,7.05,10.2725
0 18 32 38 ,7.3,11.017
0 18 32 39 ,7.14,10.231
0 18 32 43 ,7.445,10.7811
0 18 32 44 ,7.3475,10.7176
0 18 32 51 ,7.8725,12.0495
0 18 32 52 ,7.8425,11.8564
0 18 33 34 ,7.0025,10.6616
